Target,Disease,EFO ID,Drug,Mechanism of action,Hypothesis path,Related genes,Article
"PDGFR, FGFR, VEGFR",Idiopatic pulmonary fibrosis,EFO:0000768,Nintedanib,"Small molecule angiokinase inhibitor that targets multiple receptor tyrosine kinases (RTKs) and non-receptor tyrosine kinases (nRTKs). Many of these RTKs are implicated in lung fibrosis and tumour angiogenesis, so nintedanib is therefore used in the treatment of proliferative diseases such as idiopathic pulmonary fibrosis, non-small cell lung cancer, and systemic sclerosis-associated interstitial lung disease. The specific RTKs that nintedanib inhibits are platelet-derived growth factor (PDGFR) α and β, fibroblast growth factor receptor (FGFR) 1-3, vascular endothelial growth factor receptor (VEGFR) 1-3, and Fns-Like tyrosine kinase-3 (FLT3). Nintedanib binds to the ATP-binding pocket of these receptors and inhibits their activity, thereby blocking signalling cascades that result in the proliferation and migration of lung fibroblasts.","PDGFR, Grb2, SOS, Ras, Raf, MEK1, ERK; VEGFR, PLC, PKC, Raf, MEK1, ERK","CCN2, TGFB1, FGF, FGFR, PDGF, PDGFR, VEGF, VEGFR, IL13, TGFB1, Grb2, Ras, Raf, MEK1, PIK3CA, PRKCA, PRKCQ, PRKCE",DOI: 10.1183/09031936.00174914
IL4R,"Asthma, Atopic dermatitis","EFO:1000651, EFO:0000270",Dupilumab,"IL-4 and IL-13 play a central role in inducing inflammatory conditions such as allergic rhinitis, asthma, and atopic dermatitis by regulating Type 2 inflammation and immune function. These inflammatory cytokines work by modulating gene expression downstream of receptor signalling, regulating Th2 cell differentiation, and activating inflammatory cells such as mast cells and macrophages.","IL4, IL4R, STAT6","FCER2, VCAM1, IL5, IL9, IL13, FAS, GCRB, IRS1, IRS2, BCL6, STAT6, IFNG, IL2, CSF2, IGE, TYK, IL4R, IL13R, JAK1, CCL22, CCL5, CCL17, CCL2, CCR4, IL31",DOI: 10.1186/rr40 DOI: 10.1186/1471-2431-14-17 DOI: 10.1165/rcmb.2012-0080TR DOI: 10.2147/ITT.S260370
"ADRB1, ADRB2, ADRB3","Chronic asthma, Chronic bronchitis, COPD","EFO:0000270, EFO:0006505, EFO:0000341","Salbutamol, Amiodarone, Bethanidine","Activation of beta2-adrenergic receptors on airway smooth muscle leads to the activation of adenyl cyclase and to an increase in the intracellular concentration of cAMP. This increase of cAMP leads to the activation of protein kinase A, which inhibits the phosphorylation of myosin and lowers intracellular ionic calcium concentrations, resulting in relaxation. Salbutamol relaxes the smooth muscles of all airways, from the trachea to the terminal bronchioles. Salbutamol acts as a functional antagonist to relax the airway irrespective of the spasmogen involved, thus protecting against all bronchoconstrictor challenges. Increased cAMP concentrations are also associated with the inhibition of release of mediators from mast cells in the airway.","ADRB2, ADCY1, PRKACA, ITPR3","ADRB2, ADCY1, PRKACA, ITPR3, MYPT1, MLCK, RHO",DOI: 10.1186/1824-7288-41-S2-A74
ACE,Hypertension,EFO:1001153,"Captopril, Perindopril, Benazepril","Captopril, ACE inhibitor, competes with ATI for binding to ACE and inhibits and enzymatic proteolysis of ATI to ATII. Decreasing ATII levels in the body decreases blood pressure by inhibiting the pressor effects of ATII. ATII stimulates the secretion of aldosterone from the adrenal cortex, stimulates the secretion of vasopressin, increases blood pressure through direct arterial vasoconstriction.","ACE, AGT, AVP","ACE, AGT, AVP, TNFA, IL6",DOI: 10.1161/01.HYP.0000174602.59935.d5
HMGR,"Atherosclerosis, Coronary Heart Disease","EFO:0003914, EFO:0001645","Fluvastatin, Atorvastatin","Fluvastatin selectively and competitively inhibits the hepatic enzyme HMG-CoA reductase. HMG-CoA reductase is responsible for converting HMG-CoA to mevalonate, the rate-limiting step in cholesterol biosynthesis. Inhibition results in a decrease in hepatic cholesterol levels which stimulates the synthesis of LDL receptors and increases hepatic uptake of LDL cholesterol. The end result is decreased levels of plasma total and LDL cholesterol.","HMGCR, MVK, PMVK, MVD, FDPS, FDFT1, SQLE, LSS","FDFT1, FDPS, GGPS1, HMGCR, HMGCS1, IDI2, LSS, MVD, MVK, PMVK, SQLE",
P2Y12,"Acute Coronary Syndrome, Acute Myocardial Infarction","EFO:0005672, EFO:0008583","Clopidogrel, Ticlopidine, Prasugrel","Clopidogrel is metabolized to its active form by carboxylesterase-1.3 The active form is a platelet inhibitor that irreversibly binds to P2Y12 ADP receptors on platelets. This binding prevents ADP binding to P2Y12 receptors, activation of the glycoprotein GPIIb/IIIa complex, and platelet aggregation","P2Y12, GNAI3, PLA2G4A, ITGA2B","P2Y12, GNAI3, PLA2G4A, ITGA2B, PTGS1, PGG2, PGH2, TBXA2, TEXA2R, FGB, FGA",DOI: 10.1038/clpt.2010.316
"PTGS1, PTGS2","Rheumatoid arthritis, Osteorarthritis,",EFO:0000685,"Flurbiprofen, Ibuprofen, Meloxicam","Anti-inflammatory effect of flurbiprofen occurs via reversible inhibition of cyclooxygenase, enzyme responsible for the conversion of arachidonic acid to prostaglandin G2 (PGG2) and PGG2 to prostaglandin H2 (PGH2) in the prostaglandin synthesis pathway. This effectively decreases the concentration of prostaglandins involved in inflammation, pain, swelling and fever.","PTGS1, PTGES","PTGS1, PTGES, PTGES2, PTGES3, AKR1B1, AKR1C3, PTGIS, PTGDS,HPGDS",DOI: 10.1093/carcin/bgu119 DOI:10.1186/1471-2393-14-241
F2,"Deep Venous Thrombosis, Pulmonary Embolism","EFO:0003907, EFO:0003827","Dabigatran etexilate, Lepirudin, Argatroban",Dabigatran is hydrolysed to the active dabigatran by an esterase which induces hydrolysis. Dabigatran and it's glucuronidated metabolites all share equal pharmacological activity. Dabigatran and its metabolites inhibit thrombin,"F2, FGA/FGB","F2, FGA, FGB, PAR1, PAR3, PAR4, F13, CPB2, PROC, PROCR",
F10,"Deep Vein Thrombosis, Systemic Embolism, Pulmonary Embolism","EFO:0003907, EFO:0003827","Rivaroxaban, Heparin, Enoxaparin","Rivaroxaban competitively inhibits free and clot bound factor Xa. Factor Xa is needed to activate prothrombin F2 to thrombin F2A. Thrombin is a serine protease that is required to activate fibrinogen to fibrin, which is the loose meshwork that completes the clotting process.","F10, F2, FGA, FGB","F10, F2, FGA, FGB, PAR1, PAR3, PAR4, F13, CPB2, PROC, PROCR",DOI: 10.4317/jced.2.e1
GLP1R,"Type 2 Diabetes Mellitus, obesity","EFO:0001360, EFO:0001073","Albiglutide, Liraglutide, Lixisenatide",Albiglutide is an agonist of the GLP-1 (glucagon-like peptide 1) receptor and augments glucose-dependent insulin secretion.,"GLP1R, GNAI3, ADCY1","RAPGEF3, FOXO, GLP1R, GNAI3, ADCY1",
